商品名,URL,小分類,効能効果,特徴,エキス,生薬,添加物,1日容量,用法用量,使用上の注意,用法に関する注意
一風飲せきどめ液「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0601012437,鎮咳去痰薬,せき、たん、喘鳴（ぜーぜー、ひゅーひゅー）をともなうせき,"本剤は、せきを鎮め、のどにからんだ痰を切りやすくする和漢薬を配合した、飲みやすい液状タイプの鎮咳去痰薬です。
　主な成分の働きとして、麦門冬・桔梗は痰を切りやすくし、南天実は咳を鎮め、牛黄・甘草はのどの痛みをやわらげる生薬として知られています。又、グアヤコールスルホン酸カリウムは気道の粘膜の分泌を促進してのどにからんだ痰の排出をよくし、dl-メチルエフェドリン塩酸塩は気管支をひろげて咳をおさえます。",カンゾウエキス(600mg)、キキョウエキス(300mg)、バクモンドウ流エキス(2mL)、ナンテンジツ流エキス(1.5mL),麦門冬(2000mg)、甘草(1800mg)、南天実(1500mg)、桔梗(1200mg)、グアヤコールスルホン酸カリウム(180mg)、dl-メチルエフェドリン塩酸塩(75mg)、ゴオウ(3mg),ブドウ糖果糖液糖、白糖、D-ソルビトール、クエン酸、安息香酸ナトリウム、パラベン、プロピレングリコール、香料、ポビドン,48mL,"1日3回服用してください。また、場合によっては1日6回まで服用しても差し支えありませんが、1日5回以上服用する場合には、原則として約4時間の間隔をおいて服用してください。
【必ず添付の計量カップ（10mL）を使用して服用してください。】

［年齢：1回量］
成人（15才以上）：8mL
11才以上15才未満：5mL
8才以上11才未満：4mL
3才以上8才未満：2mL
1才以上3才未満：1.5mL
1才未満：服用しないこと","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用・事故が起こりやすくなります。）
 

 1．本剤を服用している間は、次のいずれの医薬品も使用しないでください
　他の鎮咳去痰薬、かぜ薬、鎮静薬、抗ヒスタミン剤を含有する内服薬等（鼻炎用内服薬、乗物酔薬、アレルギー用薬等）
2．過量服用・長期連用しないこと
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師又は登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦又は妊娠していると思われる人。
　（3）授乳中の人。
　（4）高齢者。
　（5）薬などによりアレルギー症状を起こしたことがある人。
　（6）次の症状のある人。　高熱、むくみ
　（7）次の診断を受けた人。　心臓病、高血圧、糖尿病、腎臓病、甲状腺機能障害
2．服用後、次の症状があらわれた場合は副作用の可能性があるので直ちに服用を中止し、この文書を持って医師、薬剤師又は登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気・嘔吐、食欲不振
精神神経系：めまい

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．5～6回服用しても症状が良くならない場合は服用を中止し、この文書を持って医師、薬剤師又は登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）2歳未満の乳幼児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
葛根湯エキス錠S「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0901000387,葛根湯,感冒、鼻かぜ、頭痛、肩こり、筋肉痛、手や肩の痛み,"本剤は、かぜや肩こりなどの漢方薬として用いられる処方です。
　葛根湯エキス錠S「コタロー」は、食欲はあるが、体がゾクゾクして寒気がしたり、熱が出ても汗が出ない、頭痛があり肩や首筋がこったり、ふしぶしが痛い、といったかぜに効果があります。
　また、かぜに関係なく肩こりや筋肉痛にも用いられます。",葛根湯エキス(2.2g),カッコン(4g)、タイソウ(2g)、マオウ(2g)、ケイヒ(1.5g)、シャクヤク(1.5g)、カンゾウ(1g)、ショウキョウ(0.5g),酸化チタン、ステアリン酸マグネシウム、タルク、乳糖水和物、ヒプロメロース(ヒドロキシプロピルメチルセルロース)、アメ粉、メタケイ酸アルミン酸マグネシウム、カラメル、カルナウバロウ,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）発汗傾向の著しい人。
　（6）高齢者。
　（7）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（8）次の症状のある人。
　　むくみ、排尿困難
　（9）次の診断を受けた人。
　　高血圧、心臓病、腎臓病、甲状腺機能障害
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．1ヵ月位（感冒の初期、鼻かぜ、頭痛に服用する場合には5～6回）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
加味逍遙散エキス錠N「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1001000348,加味逍遙散,体力中等度以下で、のぼせ感があり、肩がこり、疲れやすく、精神不安やいらだちなどの精神神経症状、ときに便秘の傾向のあるものの次の諸症：更年期障害、月経不順、月経困難、血の道症、不眠症、冷え症、虚弱体質,"本剤は、肩がこったり、精神不安などの精神神経症状などがあって体質虚弱な方に用いる処方です。
　加味逍遙散エキス錠N「コタロー」は、冷え症の方、生理が一定せず、生理前にいつも体調がわるくなる方、更年期で、精神がおちつかない方に効果があります。",加味逍遙散エキス散(3g),サイコ(1.5g)、シャクヤク(1.5g)、トウキ(1.5g)、ビャクジュツ(1.5g)、ブクリョウ(1.5g)、カンゾウ(1g)、サンシシ(1g)、ボタンピ(1g)、ショウキョウ(0.5g)、ハッカ(0.5g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、軽質無水ケイ酸、結晶セルロース、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸の弱い人。
　（4）高齢者。
　（5）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（6）次の症状のある人。
　　むくみ
　（7）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気・嘔吐、食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
漢方せき止めトローチS「麦門冬湯」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1001000436,麦門冬湯,体力中等度以下で、たんが切れにくく、ときに強くせきこみ、又は咽頭の乾燥感があるものの次の諸症：からぜき、気管支炎、気管支ぜんそく、咽頭炎、しわがれ声,"本剤は、漢方の古典「金匱要略」（後漢時代）収載の処方にもとづいてつくられたエキスをトローチ剤としたものです。
　漢方せき止めトローチS「麦門冬湯」は、気管支炎や気管支ぜんそくなどで、咳を頻発したり、痰が粘くて切れにくい咳に用いられます。また、ノドの痛みやノドの使い過ぎによる声がれにも適しています。
　かまずに口中でゆっくりと溶かしてください。",麦門冬湯エキス(4.5g),バクモンドウ(5g)、コウベイ(2.5g)、ハンゲ(2.5g)、タイソウ(1.5g)、カンゾウ(1g)、ニンジン(1g),β-シクロデキストリン、ステアリン酸マグネシウム、粉末還元麦芽糖水アメ、ポビドン、メタケイ酸アルミン酸マグネシウム、香料、l-メントール,6個,"食間または空腹時に、1錠ずつ口中に含み、かまずにゆっくり溶かしてください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）及び7歳以上：2錠：3回
7歳未満5歳以上：1錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）水様性の痰の多い人。
　（4）高齢者。
　（5）次の症状のある人。
　　むくみ
　（6）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．1ヵ月位（からぜきに服用する場合には1週間位）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）定められた用法、用量を厳守してください。
（2）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（3）本剤は、トローチ剤でありますのでかみくだかないでください。また、そのまま飲み込まないでください。
（4）トローチの取り出し方はトローチ剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、アルミ片を除いて取り出してから、口中に含んでください。
　（誤ってそのまま飲み込んだりすると、食道粘膜に突き刺さる等、思わぬ事故につながります）"
漢方ニキビ薬N「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1001000326,清上防風湯,にきび,"青春のシンボルともいわれるニキビも、一面では気に病む原因となり、またひどくなると病的になったり、あばたができたりします。
　ニキビができるのは、皮脂の分泌が亢進してうまく排泄されず、毛穴が角化することによって、分泌された皮脂が毛穴にたまることが原因の一つといわれています。
　漢方ニキビ薬N「コタロー」は、腫れをやわらげたり、膿の排出を促します。
　また熱をさます作用もありますので、赤く大きい、充血性・化膿性ニキビ、思春期などの若い人で顔色にも赤みのある健康な人のニキビに効果がある漢方のニキビ薬です。",エキス散(3g),オウゴン(1.25g)、キキョウ(1.25g)、センキュウ(1.25g)、ビャクシ(1.25g)、ボウフウ(1.25g)、レンギョウ(1.25g)、オウレン(0.75g)、ケイガイ(0.75g)、サンシシ(0.75g)、カンゾウ(0.5g)、キジツ(0.5g)、ハッカ(0.5g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸の弱い人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください
5．本剤の服用により、まれに症状が進行することもありますので、このような場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
桔梗石膏エキス錠「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0701000955,生薬主薬製剤,去痰、排膿,"桔梗は、古くからその根が漢方の要薬として知られ、鎮咳（せき止め）・去痰（タンを除く）・排膿（ウミを出す）の働きがあるといわれています。また、石膏も消炎（炎症をとる）・解熱（熱を下げる）などに効果のある鉱物生薬として知られてきました。
　本剤はこれら2つの生薬を煎じてエキス錠としたもので、痰による咳や化膿を伴う疾患に用いられます。",水製エキス(1.2g),セッコウ(5g)、キキョウ(2g),含水二酸化ケイ素、結晶セルロース、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,6錠,"食前または食間に服用してください。
食間とは…食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：2錠：3回
15歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸が弱く下痢しやすい人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感、軟便

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．しばらく服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",
金羚感冒散A,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2501000008,生薬製剤,かぜによるのどの痛み・口（のど）の渇き・せき・頭痛,"かぜは、悪寒、発熱、頭痛や鼻、ノドなどに炎症を伴う疾患で、一般にかぜ症候群といわれます。漢方では寒けが強く、うすい鼻水や痰がタラタラと出て、節々が痛いときは「傷寒」といい、熱っぽく（発熱）、ノドが赤くはれて痛み、痰や鼻水が粘り口が渇くときは、「温病」といいます。
　金羚感冒散Aは、温病の諸症状に用いられる代表的なお薬です。寒冷（冷え）より、熱が原因となるかぜですので、夏かぜの諸症状にもよく応用されています。",エキス散(5.92g),キンギンカ(4.26g)、レンギョウ(4.26g)、カンゾウ(2.556g)、キキョウ(2.556g)、ハッカ(2.556g)、ゴボウシ(2.136g)、タンズシ(2.136g)、ケイガイ(1.704g)、タンチクヨウ(1.704g),含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム,3包(7.5g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
成人（15歳以上）：1包：3回
15歳未満7歳以上：1／2包：3回
7歳未満5歳以上：1／4包：3回
5歳未満：服用しないでください","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 短期間の服用にとどめ、連用はしないでください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）高齢者。
　（6）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（7）次の症状のある人。
　　むくみ
　（8）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．5～6日間服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
金羚感冒錠A,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2501000009,生薬製剤,かぜによるのどの痛み・口（のど）の渇き・せき・頭痛,"かぜは、悪寒、発熱、頭痛や鼻、ノドなどに炎症を伴う疾患で、一般にかぜ症候群といわれます。漢方では寒けが強く、うすい鼻水や痰がタラタラと出て、節々が痛いときは「傷寒」といい、熱っぽく（発熱）、ノドが赤くはれて痛み、痰や鼻水が粘り口が渇くときは、「温病」といいます。
　金羚感冒錠Aは、温病の諸症状に用いられる代表的なお薬です。寒冷（冷え）より、熱が原因となるかぜですので、夏かぜの諸症状にもよく応用されています。",エキス散(5.92g),キンギンカ(4.26g)、レンギョウ(4.26g)、カンゾウ(2.556g)、キキョウ(2.556g)、ハッカ(2.556g)、ゴボウシ(2.136g)、タンズシ(2.136g)、ケイガイ(1.704g)、タンチクヨウ(1.704g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、アメ粉,24錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
成人（15歳以上）：8錠：3回
15歳未満7歳以上：4錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 短期間の服用にとどめ、連用はしないでください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）高齢者。
　（6）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（7）次の症状のある人。
　　むくみ
　（8）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．5～6日間服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
虔修六神丸,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0601011877,強心薬,心臓病、胃痛、腹痛、かくらん（日射病）、驚風（ひきつけ）、めまい、気付け,"心臓は生命の原動力で血液を全身に循環させる重要な役割を果し、心臓に故障があると、めまいやたちくらみなど初期の症状がおこり正しい診断や手当が必要です。
　虔修六神丸は六種の和漢薬を配合した強心剤で適正に用いると次のような症状にすぐれた効果があります。家庭常備薬として適した医薬品です。",,ニンジン(12mg)、ゴオウ(7mg)、ジャコウ(5mg)、センソ(5mg)、ユウタン(5mg)、リュウノウ(5mg),コメデンプン、サリチル酸、薬用炭、精製セラック,6丸,"大人1回：1～2粒
1日3回白湯にて服用して下さい。
かまずに服用して下さい。","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなる）
 

 本剤を服用している間は、次の医薬品を服用しないで下さい
　他の強心薬
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師又は登録販売者に相談して下さい
　（1）医師の治療を受けている人。
　（2）妊婦又は妊娠していると思われる人。
2．服用後、次の症状があらわれた場合は副作用の可能性があるので、直ちに服用を中止し、この文書を持って医師、薬剤師又は登録販売者に相談して下さい

［関係部位：症状］
消化器：吐き気・嘔吐

3．5～6日間服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師又は登録販売者に相談して下さい",
小太郎漢方せき止め錠N,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1801000169,小青竜湯加杏仁石膏,体力中等度で、せきが出て、のどの渇きがあるものの次の諸症：せき、気管支ぜんそく、小児ぜんそく,"せきは、気道から異物をとりのぞくための防御反応の1つでありますが、それが長く続いたりすると、体力を消耗したり、眠れなくなったりするなど日常生活の上で大変つらいものです。
　小太郎漢方せき止め錠Nは、せきやぜんそくによる喘鳴（ゼイゼイ）に用いられる漢方薬です。",エキス散(3.12g),セッコウ(5g)、ハンゲ(3g)、キョウニン(2g)、マオウ(2g)、カンゾウ(1.5g)、ケイヒ(1.5g)、サイシン(1.5g)、シャクヤク(1.5g)、ゴミシ(0.75g)、ショウキョウ(0.75g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、クロスポビドン、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）発汗傾向の著しい人。
　（6）高齢者。
　（7）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（8）次の症状のある人。
　　むくみ、排尿困難
　（9）次の診断を受けた人。
　　高血圧、心臓病、腎臓病、甲状腺機能障害
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
