商品名,URL,小分類,効能効果,特徴,エキス,生薬,添加物,1日容量,用法用量,使用上の注意,用法に関する注意
茵陳五苓散エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1001000004,茵陳五苓散,体力中等度以上をめやすとして、のどが渇いて、尿量が少ないものの次の諸症：じんましん、二日酔、むくみ、嘔吐,"口が渇き、尿量が減り、吐いたり、むくんだりする時によく用いられる漢方薬です。五苓散に茵ちん蒿（カワラヨモギの花穂）を加えた処方であることから、五苓散（口渇と尿量減少）の病態に肝胆の炎症（熱）を伴ったものによいといわれています。
　茵ちん五苓散エキス細粒G「コタロー」は、お酒の飲み過ぎによる二日酔、むくみのほか、皮膚にあらわれるじんましんなどにも用いられます。",水製エキス(3.4g),タクシャ(4.8g)、チョレイ(3.6g)、ビャクジュツ(3.6g)、ブクリョウ(3.6g)、インチンコウ(3.2g)、ケイヒ(2.4g),含水二酸化ケイ素、ステアリン酸マグネシウム、トウモロコシデンプン,3包(4.5g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または1.5g：3回
15歳未満7歳以上：2／3包または1.0g：3回
7歳未満4歳以上：1／2包または0.75g：3回
4歳未満2歳以上：1／3包または0.5g：3回
2歳未満：1／4包または0.37g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．1ヵ月位（嘔吐、二日酔に服用する場合には5～6回）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
温清飲エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0901000507,温清飲,体力中等度で、皮膚はかさかさして色つやが悪く、のぼせるものの次の諸症：湿疹・皮膚炎、月経不順、月経困難、血の道症、更年期障害、神経症,"本剤は、漢方の古典「万病回春」（明代）収載の処方にもとづいてつくられたエキスを、細粒剤としたものです。
　温清飲エキス細粒G「コタロー」は、皮膚の色つやが悪く、のぼせを伴う方のイライラなどの精神不安や更年期障害、また皮膚がカサカサする湿疹、皮膚炎など、さらに月経不順、月経困難などの婦人病にも用いられます。",温清飲エキス(5.44g),ジオウ(3.2g)、トウキ(3.2g)、オウゴン(2.4g)、シャクヤク(2.4g)、センキュウ(2.4g)、サンシシ(1.6g)、オウバク(1.2g)、オウレン(1.2g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,3包(9.6g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または3.2g：3回
15歳未満7歳以上：2／3包または2.1g：3回
7歳未満4歳以上：1／2包または1.6g：3回
4歳未満2歳以上：1／3包または1.1g：3回
2歳未満：服用しないでください

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
温胆湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0801000345,温胆湯,胃腸衰弱者の不眠・神経症,"日ごろから胃腸の働きが弱い方は、胃や体の中に水分がたまりがちです。そんな時に、イライラやストレスで熱が発生すると、たまった水分が粘り気を帯びた液体（熱痰）に変化すると言われています。不眠や不安、イライラ、胸苦しさなどの症状はこの熱痰が原因となっています。
　温胆湯エキス細粒G「コタロー」は、体の余分な水分や熱を取り除くことによって、心を落ち着かせ不安を解消し、不眠などの不快な症状を改善する薬です。",水製エキス(2.2g),ハンゲ(4.8g)、ブクリョウ(4.8g)、チンピ(2g)、チクジョ(1.6g)、キジツ(1.2g)、カンゾウ(0.8g)、ショウキョウ(0.6g),含水二酸化ケイ素、ステアリン酸マグネシウム、トウモロコシデンプン、粉末飴,3包(6g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または2.0g：3回
15歳未満7歳以上：2／3包または1.3g：3回
7歳未満4歳以上：1／2包または1.0g：3回
4歳未満2歳以上：1／3包または0.7g：3回
2歳未満：1／4包または0.5g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．1ヵ月位（不眠症に服用する場合には1週間位）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
延年半夏湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1001000409,延年半夏湯,体力中等度で、みぞおちに抵抗感があって、肩がこり、足が冷えるものの次の諸症：慢性胃炎、胃痛、食欲不振,延年半夏湯エキス細粒G「コタロー」は慢性胃炎の漢方薬のひとつで、足が冷える、背中が痛くてだるい、肩がこる、みぞおちがつかえて痛いなどを訴える時に用いるとよいといわれています。特に、足冷え以外の症状は、胃があるからだの左側に出ることが多い。このような条件を投与目標にして用いると、胃痛や胃炎に奏効する漢方薬です。,水製エキス(3.3g),ハンゲ(4g)、キキョウ(2.4g)、サイコ(2.4g)、ドベッコウ(2.4g)、ビンロウジ(2.4g)、ニンジン(1.6g)、キジツ(0.8g)、ゴシュユ(0.8g)、ショウキョウ(0.8g),含水二酸化ケイ素、ステアリン酸マグネシウム、トウモロコシデンプン,3包(4.5g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または1.5g：3回
15歳未満7歳以上：2／3包または1.0g：3回
7歳未満4歳以上：1／2包または0.75g：3回
4歳未満2歳以上：1／3包または0.5g：3回
2歳未満：1／4包または0.38g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．1ヵ月位（胃痛に服用する場合には1週間位）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
黄耆建中湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1201000291,黄耆建中湯,体力虚弱で、疲労しやすいものの次の諸症：虚弱体質、病後の衰弱、ねあせ、湿疹・皮膚炎、皮膚のただれ、腹痛、冷え症,"体力が低下して、疲労しやすい状態（漢方では虚労という）では、皮膚も内臓も弱って、症状としては皮膚の働きを上手にコントロールできず、汗をかきやすくなったり、また腹部の緊張と冷えのため、腹痛を訴えたりすることがあります。
　黄耆建中湯エキス細粒G「コタロー」は、このような体内エネルギーの消耗を防ぎ、皮膚や消化器の働きを改善するのに用いられます。抵抗力がない方の湿疹・皮膚炎ほか、床ずれなど皮膚のただれにも効果があります。",エキス散(4.5g),コウイ(16g)、シャクヤク(4.8g)、オウギ(3.2g)、ケイヒ(3.2g)、タイソウ(3.2g)、カンゾウ(1.6g)、ショウキョウ(0.8g),含水二酸化ケイ素、ステアリン酸マグネシウム、トウモロコシデンプン,6包(24g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：2包または8.0g：3回
15歳未満7歳以上：1包と1／3包または5.3g：3回
7歳未満4歳以上：1包または4.0g：3回
4歳未満2歳以上：2／3包または2.7g：3回
2歳未満：1／2包または2.0g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）高齢者。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（5）次の症状のある人。
　　むくみ
　（6）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。
（3）本剤は1回服用量が多いため、薬剤がのどにつかえることのないよう一度に飲み込むことのできる量に調節して服用するなど、よく注意してください。"
黄連阿膠湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1801000198,黄連阿膠湯,体力中等度以下で、冷えやすくのぼせ気味で胸苦しく不眠の傾向のあるものの次の諸症：かさかさした湿疹・皮膚炎、皮膚のかゆみ、不眠症、鼻血,黄連阿膠湯エキス細粒G「コタロー」は、湿疹・皮膚炎、皮膚のかゆみ、不眠症などに用いられる漢方薬です。小さく赤みを帯びて乾燥した発疹があり、皮膚のかゆみ、のぼせ感や胸苦しさにより眠れない方に効果がある処方です。,エキス散(6.8g),ランオウ末(4.8g)、オウレン(3.2g)、ゼラチン(2.4g)、オウゴン(1.6g)、シャクヤク(1.6g),含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム、アメ粉,3包(10.5g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または3.5g：3回
15歳未満7歳以上：2／3包または2.3g：3回
7歳未満4歳以上：1／2包または1.8g：3回
4歳未満2歳以上：1／3包または1.2g：3回
2歳未満：1／4包または0.9g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　（1）生後3ヵ月未満の乳児。
　（2）本剤または鶏卵によるアレルギー症状を起こしたことがある人。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位（鼻血に服用する場合には5～6回）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
黄連解毒湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0901000508,黄連解毒湯,体力中等度以上で、のぼせ気味で顔色赤く、いらいらして落ち着かない傾向のあるものの次の諸症：鼻出血、不眠症、神経症、胃炎、二日酔、血の道症、めまい、動悸、更年期障害、湿疹・皮膚炎、皮膚のかゆみ、口内炎,"本剤は、漢方の古典「外台秘要」（唐代）収載の処方にもとづいてつくられたエキスを、細粒剤としたものです。
　黄連解毒湯エキス細粒G「コタロー」は、顔がのぼせたり、熱（漢方でいう実熱）のため皮膚のかゆみを訴える方に用いられ、イライラする、怒りっぽい、頭がさえて眠れないといった症状にも効果があります。また、二日酔や口内炎、鼻出血のように一時的に漢方でいう「熱」の症状がおこる場合にも適しています。",黄連解毒湯エキス(1.44g),オウゴン(2.4g)、サンシシ(1.6g)、オウバク(1.2g)、オウレン(1.2g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,3包(4.8g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または1.6g：3回
15歳未満7歳以上：2／3包または1.1g：3回
7歳未満4歳以上：1／2包または0.8g：3回
4歳未満2歳以上：1／3包または0.5g：3回
2歳未満：1／4包または0.4g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．1ヵ月位（鼻出血、二日酔に服用する場合には5～6回）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
藿香正気散エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0801000346,藿香正気散,夏の感冒、暑さによる食欲不振・下痢・全身倦怠,"かっ香正気散エキス細粒G「コタロー」は、とくに夏季に寝冷えをしたとか、冷房・扇風機にあたり過ぎて頭痛、発熱してかぜをひいた場合とか、胃腸の調子がくるって食欲を失い、お腹が痛い、下痢をするといった場合に使われる漢方薬で、「湿邪」の障害を取り除く働きがあります。
　また冷たいもの、なま物の飲食が過ぎてむかむかする、食欲がない、全身が重だるい、下痢をするといった場合にも用いられます。",水製エキス(7g),カッコウ(3.2g)、ソヨウ(3.2g)、ダイフクヒ(3.2g)、ビャクシ(3.2g)、ブクリョウ(3.2g)、キキョウ(2.4g)、コウボク(2.4g)、タイソウ(2.4g)、チンピ(2.4g)、ハンゲ(2.4g)、ビャクジュツ(2.4g)、カンゾウ(1.2g)、ショウキョウ(0.6g),含水二酸化ケイ素、ステアリン酸マグネシウム、トウモロコシデンプン,3包(9g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または3.0g：3回
15歳未満7歳以上：2／3包または2.0g：3回
7歳未満4歳以上：1／2包または1.5g：3回
4歳未満2歳以上：1／3包または1.0g：3回
2歳未満：1／4包または0.75g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）高齢者。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（5）次の症状のある人。
　　むくみ
　（6）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．1ヵ月位（急性胃腸炎、下痢に服用する場合には5～6回、感冒に服用する場合には5～6日間）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
葛根黄連黄芩湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1101000276,葛根黄連黄芩湯,体力中等度のものの次の諸症：急性胃腸炎、下痢、口内炎、舌炎、肩こり、不眠,"漢方では、寒けがしたり、発熱したり、肩がこったり、症状が体表部にあらわれている場合を「表証」といいます。また、炎症がさらに体の深部に進行して胃腸炎を起こしたり、下したりする症状を「裏証」といいます。
　葛根黄連黄ごん湯エキス細粒G「コタロー」は、かぜなどによる寒けや発熱などの症状がまだ残っているのに、消化器症状が発生する時に用いる代表的な漢方薬です。胃腸の炎症が原因で発生する口内炎、舌炎をはじめ、熱による不眠症にも応用されています。",水製エキス(2.4g),カッコン(4.8g)、オウゴン(2.4g)、オウレン(2.4g)、カンゾウ(1.6g),含水二酸化ケイ素、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,3包(4.5g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または1.5g：3回
15歳未満7歳以上：2／3包または1.0g：3回
7歳未満4歳以上：1／2包または0.75g：3回
4歳未満2歳以上：1／3包または0.5g：3回
2歳未満：1／4包または0.37g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）高齢者。
　（4）次の症状のある人。
　　むくみ
　（5）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．1週間位（急性胃腸炎に服用する場合には5～6回）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
葛根湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0801000347,葛根湯,感冒、鼻かぜ、頭痛、肩こり、筋肉痛、手や肩の痛み,"かぜはひきはじめが肝心で、この時期に十分な静養をとるなどして治してしまうことが大切です。
　葛根湯エキス細粒G「コタロー」は、かぜの初期に使われる代表的な漢方薬で鼻がグズグズしてかぜをひいたかなと思ったとき、背すじ・首すじがこり、ゾクゾクする寒けや頭痛があり、熱はあるが汗は出ていないといったときに効果があります。
　また肩こりにも用いられる漢方薬です。",葛根湯エキス(3.84g),カッコン(3.2g)、マオウ(3.2g)、タイソウ(2.4g)、カンゾウ(1.6g)、ケイヒ(1.6g)、シャクヤク(1.6g)、ショウキョウ(0.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,3包(6g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包：3回
15歳未満7歳以上：2／3包：3回
7歳未満4歳以上：1／2包：3回
4歳未満2歳以上：1／3包：3回
2歳未満：1／4包：3回","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）発汗傾向の著しい人。
　（6）高齢者。
　（7）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（8）次の症状のある人。
　　むくみ、排尿困難
　（9）次の診断を受けた人。
　　高血圧、心臓病、腎臓病、甲状腺機能障害
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．1ヵ月位（感冒の初期、鼻かぜ、頭痛に服用する場合には5～6回）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
